09:39:48 [ERROR] Failed: /home/kimghw/iacs/UR/UR_F/ur-f27-1.pdf (exit: 1, retries: 3)
09:39:50 [ERROR] Failed: /home/kimghw/iacs/UR/UR_H/UR-H1-Withdrawn-Nov-2024.pdf (exit: 1, retries: 3)
09:39:57 [ERROR] Failed to convert: /mnt/d/OneDrive - 한국선급/업무/(2) ontology/iacs/UR/UR_L/ur-l4rev3corr2.pdf (exit: 1, retries: 3)
09:40:01 [ERROR] Failed: /home/kimghw/iacs/UR/UR_F/ur-f30del-1.pdf (exit: 1, retries: 3)
09:40:06 [ERROR] Failed: /home/kimghw/iacs/UR/UR_F/ur-f25del-1.pdf (exit: 1, retries: 3)
09:40:10 [ERROR] Failed: /home/kimghw/iacs/UR/UR_F/ur-f21-1.pdf (exit: 1, retries: 3)
09:40:11 [ERROR] Failed: /home/kimghw/iacs/UR/UR_F/ur-f20rev7-1.pdf (exit: 1, retries: 3)
09:40:14 [ERROR] Failed to convert: /mnt/d/OneDrive - 한국선급/업무/(2) ontology/iacs/UR/UR_M/UR-M10Rev5.pdf (exit: 1, retries: 3)
09:40:15 [ERROR] Failed: /home/kimghw/iacs/UR/UR_F/ur-f36del-1.pdf (exit: 1, retries: 3)
09:40:16 [ERROR] Failed: /home/kimghw/iacs/UR/UR_K/ur-k3corr2.pdf (exit: 1, retries: 3)
09:40:17 [ERROR] Failed: /home/kimghw/iacs/UR/UR_K/ur-k2del-1.pdf (exit: 1, retries: 3)
09:40:18 [ERROR] Failed: /home/kimghw/iacs/UR/UR_F/ur-f33-1.pdf (exit: 1, retries: 3)
09:40:18 [ERROR] Failed: /home/kimghw/iacs/UR/UR_G/UR-G3-Rev.8-Oct-2023-CLN.pdf (exit: 1, retries: 3)
09:40:18 [ERROR] Failed: /home/kimghw/iacs/UR/UR_F/ur-f45new-1.pdf (exit: 1, retries: 3)
09:40:18 [ERROR] Failed: /home/kimghw/iacs/UR/UR_L/ur-l3del.pdf (exit: 1, retries: 3)
09:40:18 [ERROR] Failed: /home/kimghw/iacs/UR/UR_F/ur-f38del-1.pdf (exit: 1, retries: 3)
09:40:20 [ERROR] Failed: /home/kimghw/iacs/UR/UR_L/UR-L2-Rev.3-Nov-2023-CLN.pdf (exit: 1, retries: 3)
09:40:22 [ERROR] Failed to convert: /mnt/d/OneDrive - 한국선급/업무/(2) ontology/iacs/UR/UR_F/ur-f5rev1-1.pdf (exit: 1, retries: 3)
09:40:22 [ERROR] Failed: /home/kimghw/iacs/UR/UR_I/ur-i1rev2-1.pdf (exit: 1, retries: 3)
09:40:23 [ERROR] Failed: /home/kimghw/iacs/UR/UR_L/ur-l5rev4.pdf (exit: 1, retries: 3)
