filename	year	domain	category	title	url
01_bio_ontology_review.pdf	2025	biomedical	review	Large Language Models in Bio-Ontology Research: A Review	https://www.mdpi.com/2306-5354/12/11/1260/pdf?download=1
02_medical_ontology_mapping_rdf_kg.pdf	2025	biomedical	ontology-mapping-rdf	Large language models for intelligent RDF knowledge graph construction: results from medical ontology mapping	https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1546179/pdf
03_phenotype_normalization_retriever.pdf	2025	biomedical	normalization	A simplified retriever to improve accuracy of phenotype normalizations by large language models	https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2025.1495040/pdf
04_biomedical_term_normalization_prior_knowledge.pdf	2025	biomedical	term-normalization	Prior Knowledge Shapes Success When Large Language Models Are Fine-Tuned for Biomedical Term Normalization	https://www.mdpi.com/2078-2489/16/9/776/pdf?download=1
05_biomedical_relation_extraction_llm_judge.pdf	2025	biomedical	relation-extraction-evaluation	Improving Automatic Evaluation of Large Language Models (LLMs) in Biomedical Relation Extraction via LLMs-as-the-Judge	https://aclanthology.org/2025.acl-long.1238.pdf
06_materials_kg_multidisciplinary.pdf	2024	materials	knowledge-graph	Construction and Application of Materials Knowledge Graph in Multidisciplinary Materials Science via Large Language Model	https://arxiv.org/pdf/2404.03080.pdf
07_materials_property_kg_case_study.pdf	2025	materials	knowledge-graph	A Method for LLM-Based Construction of a Materials Property Knowledge Graph: A Case Study	https://www.mdpi.com/2076-3417/15/19/10511/pdf?download=1
08_materials_design_ontologic_graph_multiagent.pdf	2024	materials	ontologic-graph	Generative Retrieval-Augmented Ontologic Graph and Multiagent Strategies for Interpretive Large Language Model-Based Materials Design	https://pubs.acs.org/doi/pdf/10.1021/acsengineeringau.3c00058
09_schema_miner_pro_semiconductor_grounding.pdf	2025	materials	schema-grounding	Schema-Miner Pro: Agentic AI for Ontology Grounding over LLM-Discovered Scientific Schemas in a Human-in-the-Loop Workflow	https://www.semantic-web-journal.net/system/files/swj3983.pdf
10_llms4om_ontology_matching.pdf	2024	semantic-web	ontology-matching	LLMs4OM: Matching Ontologies with Large Language Models	https://arxiv.org/pdf/2404.10317.pdf
11_ontochat_conversational_ontology_engineering.pdf	2024	semantic-web	conversational-oe	OntoChat: a Framework for Conversational Ontology Engineering using Language Models	https://arxiv.org/pdf/2403.05921.pdf
12_neon_gpt_pipeline.pdf	2024	semantic-web	prompt-pipeline	NeOn-GPT: A Large Language Model-Powered Pipeline for Ontology Learning	https://zenodo.org/records/11221931/files/NeOn-GPT.pdf?download=1
13_llm_ontology_engineering_slr.pdf	2025	semantic-web	review	Large Language Models for Ontology Engineering: A Systematic Literature Review	https://www.semantic-web-journal.net/system/files/swj3864.pdf
14_ke_llm_ontology_evaluation.pdf	2025	semantic-web	ontology-evaluation	Knowledge Engineering with Large Language Models: A Capability Assessment in Ontology Evaluation	https://www.semantic-web-journal.net/system/files/swj3852.pdf
15_using_llms_for_ontology_development.pdf	2025	semantic-web	methodology	Using Large Language Models for Ontology Development	https://www.mdpi.com/2673-4591/104/1/9/pdf
16_cross_domain_neon_gpt.pdf	2025	semantic-web	cross-domain-pipeline	From GPT to Mistral: Cross-Domain Ontology Learning with NeOn-GPT	https://www.semantic-web-journal.net/system/files/swj3859.pdf
