Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_c7_HD_000		0	DocumentRoot		UR C7	1	113	1183	1	tiktoken
ur_c7_HD_001	ur_c7_HD_000	1	Section	C7	C7 Approval and Certification of Container Securing Systems	2	113	1182	19	tiktoken
ur_c7_HD_002	ur_c7_HD_001	2	Subsection	C7.1	C7.1 General	6	18	140	140	tiktoken
ur_c7_HD_003	ur_c7_HD_001	2	Subsection	C7.2	C7.2 Fixed and Portable Container Securing Fittings	19	60	465	98	tiktoken
ur_c7_HD_004	ur_c7_HD_003	3	Paragraph	C7.2.1	C7.2.1 Drawings	29	39	139	139	tiktoken
ur_c7_HD_005	ur_c7_HD_003	3	Paragraph	C7.2.2	C7.2.2 Prototype Testing	40	45	51	51	tiktoken
ur_c7_HD_006	ur_c7_HD_003	3	Paragraph	C7.2.3	C7.2.3 Production Testing	46	53	87	87	tiktoken
ur_c7_HD_007	ur_c7_HD_003	3	Paragraph	C7.2.4	C7.2.4 Arrangement Plan of Fixed Container Securing Fittings	54	60	90	90	tiktoken
ur_c7_HD_008	ur_c7_HD_001	2	Subsection	C7.3	C7.3 Drawings of Container Supporting Structures	61	75	101	101	tiktoken
ur_c7_HD_009	ur_c7_HD_001	2	Subsection	C7.4	C7.4 Cargo Safe Access Plan	76	79	40	40	tiktoken
ur_c7_HD_010	ur_c7_HD_001	2	Subsection	C7.5	C7.5 Container Stowage and Securing Plan	80	106	369	82	tiktoken
ur_c7_HD_011	ur_c7_HD_010	3	Paragraph	C7.5.1	C7.5.1 Container Stowage Plan	84	93	98	98	tiktoken
ur_c7_HD_012	ur_c7_HD_010	3	Paragraph	C7.5.2	C7.5.2 Container Securing Arrangement Plan	94	106	189	189	tiktoken
ur_c7_HD_013	ur_c7_HD_001	2	Subsection	C7.6	C7.6 Lashing Software	107	113	48	48	tiktoken
