Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_d1_HD_000		0	DocumentRoot		UR D1	1	184	2407	1	tiktoken
ur_d1_HD_001	ur_d1_HD_000	1	Section	D1	D1 Requirement concerning offshore drilling units and other similar units	2	184	2406	99	tiktoken
ur_d1_HD_002	ur_d1_HD_001	2	Subsection	D1.1	D1.1 Class designation	15	65	766	8	tiktoken
ur_d1_HD_003	ur_d1_HD_002	3	Paragraph	D1.1.1	D1.1.1 General	17	26	218	218	tiktoken
ur_d1_HD_004	ur_d1_HD_002	3	Paragraph	D1.1.2	D1.1.2 Other similar units	27	30	128	128	tiktoken
ur_d1_HD_005	ur_d1_HD_002	3	Paragraph	D1.1.3	D1.1.3 Items covered by the Requirements	31	51	277	277	tiktoken
ur_d1_HD_006	ur_d1_HD_002	3	Paragraph	D1.1.4	D1.1.4 Ice strengthening	52	55	66	66	tiktoken
ur_d1_HD_007	ur_d1_HD_002	3	Paragraph	D1.1.5	D1.1.5 Temporary or emergency mooring equipment	56	59	38	38	tiktoken
ur_d1_HD_008	ur_d1_HD_002	3	Paragraph	D1.1.6	D1.1.6 Requirements for position keeping systems and components	60	65	31	31	tiktoken
ur_d1_HD_009	ur_d1_HD_001	2	Subsection	D1.2	D1.2 Novel features	66	72	101	8	tiktoken
ur_d1_HD_010	ur_d1_HD_009	3	Paragraph		D1.2.1	68	72	93	93	tiktoken
ur_d1_HD_011	ur_d1_HD_001	2	Subsection	D1.3	D1.3 Submissions	73	131	777	8	tiktoken
ur_d1_HD_012	ur_d1_HD_011	3	Paragraph	D1.3.1	D1.3.1 Hull and structural plans and design data	75	111	459	459	tiktoken
ur_d1_HD_013	ur_d1_HD_011	3	Paragraph	D1.3.2	D1.3.2 Machinery plans and data	112	115	92	92	tiktoken
ur_d1_HD_014	ur_d1_HD_011	3	Paragraph	D1.3.3	D1.3.3 Calculations	116	131	218	218	tiktoken
ur_d1_HD_015	ur_d1_HD_001	2	Subsection	D1.4	D1.4 Materials	132	138	62	7	tiktoken
ur_d1_HD_016	ur_d1_HD_015	3	Paragraph		D1.4.1	134	138	55	55	tiktoken
ur_d1_HD_017	ur_d1_HD_001	2	Subsection	D1.5	D1.5 Welding	139	145	93	8	tiktoken
ur_d1_HD_018	ur_d1_HD_017	3	Paragraph		D1.5.1	141	145	85	85	tiktoken
ur_d1_HD_019	ur_d1_HD_001	2	Subsection	D1.6	D1.6 Testing	146	152	41	7	tiktoken
ur_d1_HD_020	ur_d1_HD_019	3	Paragraph		D1.6.1	148	152	34	34	tiktoken
ur_d1_HD_021	ur_d1_HD_001	2	Subsection	D1.7	D1.7 Operating booklet	153	173	325	325	tiktoken
ur_d1_HD_022	ur_d1_HD_001	2	Subsection	D1.8	D1.8 Construction Booklet	174	184	142	142	tiktoken
