Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_e27_HD_000		0	DocumentRoot		UR E27	1	353	4724	1	tiktoken
ur_e27_HD_001	ur_e27_HD_000	1	Section	E27	E27 Cyber resilience of on-board systems and equipment	2	353	4723	31	tiktoken
ur_e27_HD_002	ur_e27_HD_001	2	Subsection		1. General	7	124	1518	6	tiktoken
ur_e27_HD_003	ur_e27_HD_002	3	Paragraph		1.1 Introduction	9	14	144	144	tiktoken
ur_e27_HD_004	ur_e27_HD_002	3	Paragraph		1.2 Limitations	15	29	201	201	tiktoken
ur_e27_HD_005	ur_e27_HD_002	3	Paragraph		1.3 Scope of applicability	30	66	411	268	tiktoken
ur_e27_HD_006	ur_e27_HD_005	4	Sub-paragraph		1.3.1 Information and Communication Technology (ICT)	55	66	143	143	tiktoken
ur_e27_HD_007	ur_e27_HD_002	3	Paragraph		1.4 Definitions & Abbreviations	67	124	756	756	tiktoken
ur_e27_HD_008	ur_e27_HD_001	2	Subsection		2. Security Philosophy	125	155	326	7	tiktoken
ur_e27_HD_009	ur_e27_HD_008	3	Paragraph		2.1 Systems and Equipment	127	137	103	103	tiktoken
ur_e27_HD_010	ur_e27_HD_008	3	Paragraph		2.2 Cyber Resilience	138	141	53	53	tiktoken
ur_e27_HD_011	ur_e27_HD_008	3	Paragraph		2.3 Essential Systems Availability	142	149	119	119	tiktoken
ur_e27_HD_012	ur_e27_HD_008	3	Paragraph		2.4 Compensating Countermeasures	150	155	44	44	tiktoken
ur_e27_HD_013	ur_e27_HD_001	2	Subsection		3. Documentation	156	203	398	6	tiktoken
ur_e27_HD_014	ur_e27_HD_013	3	Paragraph		3.1 CBS Documentation	158	203	392	30	tiktoken
ur_e27_HD_015	ur_e27_HD_014	4	Sub-paragraph		3.1.1 CBS asset inventory	162	167	69	69	tiktoken
ur_e27_HD_016	ur_e27_HD_014	4	Sub-paragraph		3.1.2 Topology diagrams	168	171	31	31	tiktoken
ur_e27_HD_017	ur_e27_HD_014	4	Sub-paragraph		3.1.3 Description of security capabilities	172	175	31	31	tiktoken
ur_e27_HD_018	ur_e27_HD_014	4	Sub-paragraph		3.1.4 Test procedure of security capabilities	176	179	41	41	tiktoken
ur_e27_HD_019	ur_e27_HD_014	4	Sub-paragraph		3.1.5 Security configuration guidelines	180	183	27	27	tiktoken
ur_e27_HD_020	ur_e27_HD_014	4	Sub-paragraph		3.1.6 Secure development lifecycle documents	184	187	35	35	tiktoken
ur_e27_HD_021	ur_e27_HD_014	4	Sub-paragraph		3.1.7 Plans for maintenance and verification of the CBS	188	191	31	31	tiktoken
ur_e27_HD_022	ur_e27_HD_014	4	Sub-paragraph		3.1.8 Information supporting the owner's incident response and recovery plan	192	195	54	54	tiktoken
ur_e27_HD_023	ur_e27_HD_014	4	Sub-paragraph		3.1.9 Management of change plan	196	197	12	12	tiktoken
ur_e27_HD_024	ur_e27_HD_014	4	Sub-paragraph		3.1.10 Test reports	198	203	31	31	tiktoken
ur_e27_HD_025	ur_e27_HD_001	2	Subsection		4. System Requirements	204	266	1480	7	tiktoken
ur_e27_HD_026	ur_e27_HD_025	3	Paragraph		4.1 Required security capabilities	206	244	1031	1031	tiktoken
ur_e27_HD_027	ur_e27_HD_025	3	Paragraph		4.2 Additional security capabilities	245	266	442	442	tiktoken
ur_e27_HD_028	ur_e27_HD_001	2	Subsection		5. Secure Development Lifecycle Requirements	267	294	260	260	tiktoken
ur_e27_HD_029	ur_e27_HD_001	2	Subsection		6. Demonstration of compliance	295	319	183	9	tiktoken
ur_e27_HD_030	ur_e27_HD_029	3	Paragraph		6.1 Introduction	297	304	73	73	tiktoken
ur_e27_HD_031	ur_e27_HD_029	3	Paragraph		6.2 Plan approval	305	308	23	23	tiktoken
ur_e27_HD_032	ur_e27_HD_029	3	Paragraph		6.3 Survey and factory acceptance test	309	319	78	30	tiktoken
ur_e27_HD_033	ur_e27_HD_032	4	Sub-paragraph		6.3.1 General survey items	313	313	11	11	tiktoken
ur_e27_HD_034	ur_e27_HD_032	4	Sub-paragraph		6.3.2 Test of security capabilities	314	314	12	12	tiktoken
ur_e27_HD_035	ur_e27_HD_032	4	Sub-paragraph		6.3.3 Correct configuration of security capabilities	315	315	13	13	tiktoken
ur_e27_HD_036	ur_e27_HD_032	4	Sub-paragraph		6.3.4 Secure development lifecycle	316	319	12	12	tiktoken
ur_e27_HD_037	ur_e27_HD_001	2	Subsection		Appendix I	320	333	124	124	tiktoken
ur_e27_HD_038	ur_e27_HD_001	2	Subsection		Appendix II	334	353	403	403	tiktoken
