Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_g1_HD_000		0	DocumentRoot		UR G1	1	172	2115	1	tiktoken
ur_g1_HD_001	ur_g1_HD_000	1	Section	G1	G1 Vessels with cargo containment system for liquefied gas	2	172	2114	86	tiktoken
ur_g1_HD_002	ur_g1_HD_001	2	Subsection	G1.1	G1.1 General	16	25	138	138	tiktoken
ur_g1_HD_003	ur_g1_HD_001	2	Subsection	G1.2	G1.2 Definitions	26	61	499	7	tiktoken
ur_g1_HD_004	ur_g1_HD_003	3	Paragraph	G1.2.1	G1.2.1 Integral tanks	28	30	76	76	tiktoken
ur_g1_HD_005	ur_g1_HD_003	3	Paragraph	G1.2.2	G1.2.2 Membrane tanks	31	33	61	61	tiktoken
ur_g1_HD_006	ur_g1_HD_003	3	Paragraph	G1.2.3	G1.2.3 Semi-membrane tanks	34	36	53	53	tiktoken
ur_g1_HD_007	ur_g1_HD_003	3	Paragraph	G1.2.4	G1.2.4 Independent tanks	37	53	252	252	tiktoken
ur_g1_HD_008	ur_g1_HD_003	3	Paragraph	G1.2.5	G1.2.5 Design vapour pressure	54	56	26	26	tiktoken
ur_g1_HD_009	ur_g1_HD_003	3	Paragraph	G1.2.6	G1.2.6 Design temperature	57	61	24	24	tiktoken
ur_g1_HD_010	ur_g1_HD_001	2	Subsection	G1.3	G1.3 Design loads	62	85	288	8	tiktoken
ur_g1_HD_011	ur_g1_HD_010	3	Paragraph	G1.3.1	G1.3.1 General	64	66	59	59	tiktoken
ur_g1_HD_012	ur_g1_HD_010	3	Paragraph	G1.3.2	G1.3.2 Internal pressure	67	71	73	73	tiktoken
ur_g1_HD_013	ur_g1_HD_010	3	Paragraph	G1.3.3	G1.3.3 External pressure	72	74	22	22	tiktoken
ur_g1_HD_014	ur_g1_HD_010	3	Paragraph	G1.3.4	G1.3.4 Dynamic loads due to ships motions	75	77	60	60	tiktoken
ur_g1_HD_015	ur_g1_HD_010	3	Paragraph	G1.3.5	G1.3.5 Sloshing loads	78	80	30	30	tiktoken
ur_g1_HD_016	ur_g1_HD_010	3	Paragraph	G1.3.6	G1.3.6 Thermal loads	81	85	36	36	tiktoken
ur_g1_HD_017	ur_g1_HD_001	2	Subsection	G1.4	G1.4 Structural analysis	86	96	175	175	tiktoken
ur_g1_HD_018	ur_g1_HD_001	2	Subsection	G1.5	G1.5 Allowable stress – corrosion allowance	97	111	169	12	tiktoken
ur_g1_HD_019	ur_g1_HD_018	3	Paragraph	G1.5.1	G1.5.1 Allowable stresses	99	106	130	130	tiktoken
ur_g1_HD_020	ur_g1_HD_018	3	Paragraph	G1.5.2	G1.5.2 Corrosion allowance	107	111	27	27	tiktoken
ur_g1_HD_021	ur_g1_HD_001	2	Subsection	G1.6	G1.6 Supports	112	120	84	84	tiktoken
ur_g1_HD_022	ur_g1_HD_001	2	Subsection	G1.7	G1.7 Secondary barrier	121	131	147	147	tiktoken
ur_g1_HD_023	ur_g1_HD_001	2	Subsection	G1.8	G1.8 Insulation	132	138	60	60	tiktoken
ur_g1_HD_024	ur_g1_HD_001	2	Subsection	G1.9	G1.9 Materials	139	144	85	85	tiktoken
ur_g1_HD_025	ur_g1_HD_001	2	Subsection	G1.10	G1.10 Construction and testing	145	154	123	123	tiktoken
ur_g1_HD_026	ur_g1_HD_001	2	Subsection		APPENDIX 1 - Guidance formulae for acceleration components	155	172	260	260	tiktoken
