Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_i3_HD_000		0	DocumentRoot		UR I3	1	1370	24837	1	tiktoken
ur_i3_HD_001	ur_i3_HD_000	1	Section	I3	I3 Machinery Requirements for Polar Class Ships	2	1370	24836	61	tiktoken
ur_i3_HD_002	ur_i3_HD_001	2	Subsection		1 Application	10	17	62	62	tiktoken
ur_i3_HD_003	ur_i3_HD_001	2	Subsection		2 General	18	44	455	5	tiktoken
ur_i3_HD_004	ur_i3_HD_003	3	Paragraph		2.1 The following drawings and particulars are to be submitted.	20	34	271	271	tiktoken
ur_i3_HD_005	ur_i3_HD_003	3	Paragraph		2.2 System Design	35	44	179	179	tiktoken
ur_i3_HD_006	ur_i3_HD_001	2	Subsection		3 Materials	45	66	502	61	tiktoken
ur_i3_HD_007	ur_i3_HD_006	3	Paragraph		3.1 Materials exposed to sea water	49	54	142	142	tiktoken
ur_i3_HD_008	ur_i3_HD_006	3	Paragraph		3.2 Materials exposed to sea water temperature	55	60	186	186	tiktoken
ur_i3_HD_009	ur_i3_HD_006	3	Paragraph		3.3 Material exposed to low air temperature	61	66	113	113	tiktoken
ur_i3_HD_010	ur_i3_HD_001	2	Subsection		4 Definitions	67	177	2571	5	tiktoken
ur_i3_HD_011	ur_i3_HD_010	3	Paragraph		4.1 Definition of Symbols	69	158	1763	1763	tiktoken
ur_i3_HD_012	ur_i3_HD_010	3	Paragraph		4.2 Definition of Loads	159	177	803	803	tiktoken
ur_i3_HD_013	ur_i3_HD_001	2	Subsection		5 Design Ice Loads	178	667	9201	7	tiktoken
ur_i3_HD_014	ur_i3_HD_013	3	Paragraph		5.1 General	180	187	378	378	tiktoken
ur_i3_HD_015	ur_i3_HD_013	3	Paragraph		5.2 Ice Class Factors	188	203	224	224	tiktoken
ur_i3_HD_016	ur_i3_HD_013	3	Paragraph		5.3 Propeller Ice Interaction Loads	204	365	3135	11	tiktoken
ur_i3_HD_017	ur_i3_HD_016	4	Sub-paragraph		5.3.1 Maximum backward blade force $F_b$ for open propellers	206	223	322	322	tiktoken
ur_i3_HD_018	ur_i3_HD_016	4	Sub-paragraph		5.3.2 Maximum forward blade force $F_f$ for open propellers	224	237	210	210	tiktoken
ur_i3_HD_019	ur_i3_HD_016	4	Sub-paragraph		5.3.3 Loaded area on the blade for open propellers	238	251	535	535	tiktoken
ur_i3_HD_020	ur_i3_HD_016	4	Sub-paragraph		5.3.4 Maximum backward blade ice force $F_b$ for ducted propellers	252	269	281	281	tiktoken
ur_i3_HD_021	ur_i3_HD_016	4	Sub-paragraph		5.3.5 Maximum forward blade ice force $F_f$ for ducted propellers	270	283	212	212	tiktoken
ur_i3_HD_022	ur_i3_HD_016	4	Sub-paragraph		5.3.6 Loaded area on the blade for ducted propellers	284	295	411	411	tiktoken
ur_i3_HD_023	ur_i3_HD_016	4	Sub-paragraph		5.3.7 Maximum blade spindle torque $Q_{smax}$ for open and ducted propellers	296	306	196	196	tiktoken
ur_i3_HD_024	ur_i3_HD_016	4	Sub-paragraph		5.3.8 Load distributions (spectra) for blade loads	307	329	438	438	tiktoken
ur_i3_HD_025	ur_i3_HD_016	4	Sub-paragraph		5.3.9 Number of ice loads	330	365	519	519	tiktoken
ur_i3_HD_026	ur_i3_HD_013	3	Paragraph		5.4 Blade Failure Load for both Open and Ducted Propellers	366	409	798	18	tiktoken
ur_i3_HD_027	ur_i3_HD_026	4	Sub-paragraph		5.4.1 Bending Force, $F_{ex}$	368	385	353	353	tiktoken
ur_i3_HD_028	ur_i3_HD_026	4	Sub-paragraph		5.4.2 Spindle Torque, $Q_{sex}$	386	409	427	427	tiktoken
ur_i3_HD_029	ur_i3_HD_013	3	Paragraph		5.5 Axial design loads acting on open and ducted propellers	410	448	526	18	tiktoken
ur_i3_HD_030	ur_i3_HD_029	4	Sub-paragraph		5.5.1 Maximum ice thrust on propeller $T_f$ and $T_b$ acting on open and ducted propellers	412	420	146	146	tiktoken
ur_i3_HD_031	ur_i3_HD_029	4	Sub-paragraph		5.5.2 Design thrust along the propulsion shaft line for open and ducted propellers	421	448	362	362	tiktoken
ur_i3_HD_032	ur_i3_HD_013	3	Paragraph		5.6 Torsional design loads acting on open and ducted propellers	449	652	3741	19	tiktoken
ur_i3_HD_033	ur_i3_HD_032	4	Sub-paragraph		5.6.1 Design ice torque on propeller $Q_{max}$ for open propellers	451	482	524	524	tiktoken
ur_i3_HD_034	ur_i3_HD_032	4	Sub-paragraph		5.6.2 Design ice torque on propeller $Q_{max}$ for ducted propellers	483	504	410	410	tiktoken
ur_i3_HD_035	ur_i3_HD_032	4	Sub-paragraph		5.6.3 Ice torque excitation for open and ducted propellers	505	619	2294	256	tiktoken
ur_i3_HD_036	ur_i3_HD_035	5	Sub-sub-paragraph		5.6.3.1 Excitation for the time domain calculation	515	556	739	739	tiktoken
ur_i3_HD_037	ur_i3_HD_035	5	Sub-sub-paragraph		5.6.3.2 Frequency domain excitation	557	619	1299	1299	tiktoken
ur_i3_HD_038	ur_i3_HD_032	4	Sub-paragraph		5.6.4 Design torque along shaft line	620	652	494	494	tiktoken
ur_i3_HD_039	ur_i3_HD_013	3	Paragraph		5.7 Guideline for torsional vibration calculation	653	667	392	392	tiktoken
ur_i3_HD_040	ur_i3_HD_001	2	Subsection		6 Design	668	1207	9546	5	tiktoken
ur_i3_HD_041	ur_i3_HD_040	3	Paragraph		6.1 Design Principle	670	675	86	86	tiktoken
ur_i3_HD_042	ur_i3_HD_040	3	Paragraph		6.2 Fatigue design in general	676	696	341	341	tiktoken
ur_i3_HD_043	ur_i3_HD_040	3	Paragraph		6.3 Propeller blades	697	873	3102	9	tiktoken
ur_i3_HD_044	ur_i3_HD_043	4	Sub-paragraph		6.3.1 Calculation of blade stresses due to static loads	699	713	279	279	tiktoken
ur_i3_HD_045	ur_i3_HD_043	4	Sub-paragraph		6.3.2 Acceptability criterion for static loads	714	722	92	92	tiktoken
ur_i3_HD_046	ur_i3_HD_043	4	Sub-paragraph		6.3.3 Fatigue design of propeller blade	723	873	2722	15	tiktoken
ur_i3_HD_047	ur_i3_HD_046	5	Sub-sub-paragraph		6.3.3.1 General	725	759	670	670	tiktoken
ur_i3_HD_048	ur_i3_HD_046	5	Sub-sub-paragraph		6.3.3.2 Equivalent fatigue stress	760	825	1164	1164	tiktoken
ur_i3_HD_049	ur_i3_HD_046	5	Sub-sub-paragraph		6.3.3.3 Acceptability criterion for fatigue	826	873	873	873	tiktoken
ur_i3_HD_050	ur_i3_HD_040	3	Paragraph		6.4 Blade bolts, propeller hub and CP mechanism	874	948	1334	15	tiktoken
ur_i3_HD_051	ur_i3_HD_050	4	Sub-paragraph		6.4.1 General	876	881	190	190	tiktoken
ur_i3_HD_052	ur_i3_HD_050	4	Sub-paragraph		6.4.2 Blade bolts	882	905	337	337	tiktoken
ur_i3_HD_053	ur_i3_HD_050	4	Sub-paragraph		6.4.3 CP mechanism	906	944	710	710	tiktoken
ur_i3_HD_054	ur_i3_HD_050	4	Sub-paragraph		6.4.4 Servo pressure	945	948	82	82	tiktoken
ur_i3_HD_055	ur_i3_HD_040	3	Paragraph		6.5 Propulsion line components	949	1201	4372	592	tiktoken
ur_i3_HD_056	ur_i3_HD_055	4	Sub-paragraph		6.5.1 Propeller fitting to the shaft	983	1033	617	14	tiktoken
ur_i3_HD_057	ur_i3_HD_056	5	Sub-sub-paragraph		6.5.1.1 Keyless cone mounting	985	1000	217	217	tiktoken
ur_i3_HD_058	ur_i3_HD_056	5	Sub-sub-paragraph		6.5.1.2 Key mounting	1001	1004	18	18	tiktoken
