Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_l5_HD_000		0	DocumentRoot		UR L5	1	313	5624	1	tiktoken
ur_l5_HD_001	ur_l5_HD_000	1	Section	L5	L5 Computer Software for Onboard Stability Calculations	2	313	5623	69	tiktoken
ur_l5_HD_002	ur_l5_HD_001	2	Subsection		Application	11	22	174	174	tiktoken
ur_l5_HD_003	ur_l5_HD_001	2	Subsection		1. General	23	42	424	424	tiktoken
ur_l5_HD_004	ur_l5_HD_001	2	Subsection		2. Calculation Systems	43	50	66	66	tiktoken
ur_l5_HD_005	ur_l5_HD_001	2	Subsection		3. Types of Stability Software	51	68	229	229	tiktoken
ur_l5_HD_006	ur_l5_HD_001	2	Subsection		4. Functional requirements:	69	167	1895	7	tiktoken
ur_l5_HD_007	ur_l5_HD_006	3	Paragraph		4.1 General requirements for any type of stability software	71	99	593	593	tiktoken
ur_l5_HD_008	ur_l5_HD_006	3	Paragraph		4.2 Further requirements for Type 4 stability software	100	167	1295	1295	tiktoken
ur_l5_HD_009	ur_l5_HD_001	2	Subsection		5. Acceptable Tolerances	168	229	1113	500	tiktoken
ur_l5_HD_010	ur_l5_HD_009	3	Paragraph		Table 1	192	229	613	613	tiktoken
ur_l5_HD_011	ur_l5_HD_001	2	Subsection		6. Approval Procedure	230	266	1084	164	tiktoken
ur_l5_HD_012	ur_l5_HD_011	3	Paragraph		6.1 General Approval (optional):	243	248	428	428	tiktoken
ur_l5_HD_013	ur_l5_HD_011	3	Paragraph		6.2 Specific Approval:	249	266	492	492	tiktoken
ur_l5_HD_014	ur_l5_HD_001	2	Subsection		7. Operation Manual	267	278	78	78	tiktoken
ur_l5_HD_015	ur_l5_HD_001	2	Subsection		8. Installation Testing	279	292	275	275	tiktoken
ur_l5_HD_016	ur_l5_HD_001	2	Subsection		9. Periodical Testing	293	300	121	121	tiktoken
ur_l5_HD_017	ur_l5_HD_001	2	Subsection		10. Other Requirements	301	313	95	95	tiktoken
